tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-02-25 16:45:14	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	52.7	average of multiple measurements	g	-25.4	1.271e-05	1	2.0	273	1.18e-07	9.29e-08	6.61e-08	0	0	273
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-03-04 18:19:29	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	057.5		g	-24.2	7.13e-06	2	1	273	1.35e-07	1.00e-07	6.46e-08	0	0	323.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-03-11 17:30:47	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	057.8		g	-24.4	7.05e-06	3	1	273	1.69e-07	1.07e-07	5.41e-08	0	0	373.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-03-17 14:15:06	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	057.1		g	-24.2	6.97e-06	4	1	273	2.69e-07	1.80e-07	6.20e-08	0	0	423.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-03-28 14:11:36	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.3	058.2		g	-24.2	6.86e-06	5	1	273	2.31e-07	1.45e-07	5.58e-08	0	0	473.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-04-01 17:55:47	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.1	058.5		g	-23.9	6.76e-06	6	1	273	1.03e-07	7.14e-08	5.73e-08	0	0	523.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-04-09 11:27:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.3	057.7		g	-23.7	6.61e-06	7	1	273	2.12e-07	1.45e-07	5.83e-08	0	0	573.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-04-18 13:50:38	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.3	058.0		g	-23.6	6.46e-06	8	1	273	2.12e-07	1.36e-07	5.42e-08	0	0	623.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-04-25 13:17:01	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.6	058.4		g	-23.4	6.27e-06	9	1	273	1.39e-07	8.93e-08	5.33e-08	0	0	673.0
This study	This study	UMK_BOT	PW7.10b	PW7	PW7.10b	PW7.10b:LP-DIR-T	hargrave 2014-04-29 18:35:39	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	058.9		g	-23.2	6.12e-06	10	1	273	1.74e-07	1.08e-07	5.17e-08	0	0	698.0
