tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-02-28 15:30:46	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	62.4	average of multiple measurements	g	-23.8	1.061e-06	1	2.0	273	1.51e-08	5.29e-09	5.84e-09	0	0	273
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-03-07 13:51:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.9	090.7		g	11.3	4.20e-07	2	1	273	3.85e-09	5.31e-09	5.54e-09	0	0	323.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-03-11 18:25:46	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.6	092.6		g	10.9	4.10e-07	3	1	273	1.04e-08	5.45e-09	5.82e-09	0	0	373.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-03-17 16:43:53	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.8	087.3		g	11.1	4.18e-07	4	1	273	3.47e-08	5.33e-09	7.11e-09	0	0	423.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-03-28 15:06:45	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	097.4		g	11.7	4.06e-07	5	1	273	1.38e-08	2.64e-09	4.95e-09	0	0	473.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-04-01 18:48:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	099.0		g	12.1	3.96e-07	6	1	273	1.13e-08	2.17e-09	5.41e-09	0	0	523.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-04-10 14:36:41	LT-T-Z:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	101.3	average of multiple measurements	g	12.6	4.174e-07	7	2.0	273	5.28e-09	3.82e-09	5.57e-09	0	0	573.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-04-18 14:43:58	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.9	104.3		g	14.3	4.14e-07	8	1	273	2.01e-08	2.73e-09	5.61e-09	0	0	623.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-04-25 14:09:49	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	106.1		g	14.9	3.89e-07	9	1	273	1.08e-08	1.76e-09	4.98e-09	0	0	673.0
This study	This study	UMK_BOT	PW18.1b	PW18	PW18.1b	PW18.1b:LP-DIR-T	hargrave 2014-04-29 19:29:09	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	110.2		g	17.3	3.94e-07	10	1	273	8.79e-09	1.89e-09	5.27e-09	0	0	698.0
