tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-02-25 16:46:45	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.5	341.7	average of multiple measurements	g	-54.5	3.523e-05	1	2.0	273	8.55e-08	4.02e-07	1.13e-07	0	0	273
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-03-04 18:21:00	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.0	335.6		g	-54.3	1.75e-05	2	1	273	5.42e-08	2.87e-07	1.44e-07	0	0	323.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-03-11 17:32:16	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	334.9		g	-54.6	1.74e-05	3	1	273	1.20e-07	5.45e-07	1.01e-07	0	0	373.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-03-17 14:16:37	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	333.7		g	-54.4	1.72e-05	4	1	273	2.63e-07	7.96e-07	1.22e-07	0	0	423.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-03-28 14:13:05	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.3	335.5		g	-54.5	1.70e-05	5	1	273	5.13e-08	3.72e-07	1.09e-07	0	0	473.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-04-01 17:57:24	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	336.7		g	-54.4	1.68e-05	6	1	273	5.81e-08	3.99e-07	1.15e-07	0	0	523.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-04-09 11:29:42	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	334.9		g	-54.5	1.64e-05	7	1	273	1.16e-07	5.47e-07	1.11e-07	0	0	573.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-04-18 13:52:21	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.1	335.4		g	-54.5	1.60e-05	8	1	273	4.39e-08	2.95e-07	1.08e-07	0	0	623.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-04-25 13:18:38	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	335.0		g	-54.6	1.56e-05	9	1	273	1.20e-07	5.43e-07	9.92e-08	0	0	673.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-04-29 18:37:21	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.2	334.1		g	-54.6	1.51e-05	10	1	273	4.76e-08	3.17e-07	9.63e-08	0	0	698.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-05-02 12:04:25	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	333.9		g	-54.6	1.47e-05	11	1	273	1.10e-07	4.99e-07	1.08e-07	0	0	723.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-05-05 12:07:12	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.7	333.4		g	-54.7	1.39e-05	12	1	273	3.41e-08	1.48e-07	8.14e-08	0	0	748.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-05-07 10:35:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	333.3		g	-54.9	1.31e-05	13	1	273	8.58e-08	4.09e-07	7.36e-08	0	0	773.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-05-15 21:35:01	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.6	333.7		g	-54.8	1.20e-05	14	1	273	8.82e-08	3.12e-07	7.18e-08	0	0	793.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-06-03 13:05:31	LT-T-Z:LP-DIR-T	pmagpy-2.233	0.9	332.9		g	-54.9	1.06e-05	15	1	273	3.34e-08	1.59e-07	5.69e-08	0	0	813.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-06-10 15:20:11	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	332.9		g	-54.8	8.64e-06	16	1	273	1.24e-07	3.63e-07	4.85e-08	0	0	823.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-06-17 16:47:43	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	324.1		g	-53.4	3.45e-06	17	1	273	5.01e-08	9.65e-08	2.02e-08	0	0	833.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-06-24 15:51:30	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.4	302.9		g	-48.6	8.70e-07	18	1	273	3.16e-08	1.82e-08	4.06e-09	0	0	838.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-07-01 11:47:13	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	295.8		g	-42.4	2.17e-07	19	1	273	4.41e-09	3.19e-09	1.29e-09	0	0	841.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-07-02 16:12:37	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.7	290.9		g	-34.5	7.54e-08	20	1	273	3.31e-09	1.17e-09	6.43e-10	0	0	844.0
This study	This study	UMK_BOT	PW9.4b	PW9	PW9.4b	PW9.4b:LP-DIR-T	hargrave 2014-07-07 18:09:01	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.4	291.7		g	-46.4	9.48e-08	21	1	273	2.10e-09	8.20e-10	6.52e-10	0	0	847.0
This study	This study	UMK_BOT	PW9.5b	PW9	PW9.5b	PW9.5b:LP-DIR-T	hargrave 2014-02-25 16:48:20	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.5	341.6	average of multiple measurements	g	-57.2	4.257e-05	1	2.0	273	3.41e-07	4.47e-07	1.24e-07	0	0	273
