tab 	magic_measurements
er_citation_name	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_temp	measurement_x_sd	measurement_y_sd	measurement_z_sd	treatment_ac_field	treatment_dc_field	treatment_temp
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-03-04 13:15:55	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	344.0	average of multiple measurements	g	74.4	1.650e-06	1	2.0	273	3.33e-08	2.53e-08	9.93e-09	0	0	273
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-03-07 17:11:32	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	345.8		g	74.2	1.43e-06	2	1	273	3.39e-08	2.94e-08	1.38e-08	0	0	323.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-03-14 17:25:04	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	345.0		g	74.3	1.40e-06	3	1	273	2.83e-08	3.17e-08	1.69e-08	0	0	373.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-03-18 14:45:36	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.9	347.3		g	74.5	1.02e-06	4	1	273	2.39e-08	2.18e-08	1.70e-08	0	0	423.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-03-31 12:22:53	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	347.2		g	74.1	8.78e-07	5	1	273	2.53e-08	1.95e-08	1.22e-08	0	0	473.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-04-02 14:14:28	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.5	347.2		g	74.2	7.41e-07	6	1	273	1.41e-08	1.23e-08	9.14e-09	0	0	523.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-04-15 12:21:15	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	347.8		g	74.1	6.36e-07	7	1	273	1.41e-08	1.36e-08	8.45e-09	0	0	573.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-04-22 14:09:52	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.6	348.1		g	74.0	5.48e-07	8	1	273	1.07e-08	1.05e-08	7.24e-09	0	0	623.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-04-28 12:08:03	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	348.0		g	74.1	4.95e-07	9	1	273	1.13e-08	8.27e-09	1.02e-08	0	0	673.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-04-30 15:32:45	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	347.5		g	73.9	4.55e-07	10	1	273	1.06e-08	7.42e-09	8.98e-09	0	0	698.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-05-02 18:59:02	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	347.5		g	73.8	4.23e-07	11	1	273	8.83e-09	7.78e-09	6.31e-09	0	0	723.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-05-05 13:09:27	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.2	348.2		g	74.0	3.83e-07	12	1	273	1.05e-08	1.02e-08	4.19e-09	0	0	748.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-05-07 19:38:31	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.4	348.7		g	73.6	3.42e-07	13	1	273	1.10e-08	8.25e-09	5.81e-09	0	0	773.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-05-27 16:28:32	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.0	349.1		g	73.8	3.06e-07	14	1	273	9.01e-09	5.77e-09	2.67e-09	0	0	793.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-06-09 16:34:51	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	351.0		g	73.3	2.65e-07	15	1	273	6.53e-09	6.65e-09	3.48e-09	0	0	813.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-06-13 15:22:55	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.2	349.1		g	73.1	2.26e-07	16	1	273	7.08e-09	4.44e-09	3.18e-09	0	0	823.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-06-24 17:11:36	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.4	351.1		g	72.9	1.66e-07	17	1	273	4.81e-09	4.44e-09	3.58e-09	0	0	833.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-06-25 17:46:27	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	353.1		g	72.8	1.34e-07	18	1	273	3.71e-09	1.55e-09	2.67e-09	0	0	836.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-07-01 17:15:58	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.3	351.6		g	72.5	1.11e-07	19	1	273	3.12e-09	2.68e-09	2.39e-09	0	0	839.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-07-03 15:28:50	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.2	349.9		g	72.7	8.85e-08	20	1	273	2.30e-09	2.10e-09	1.92e-09	0	0	842.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-07-08 15:10:59	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	347.7		g	71.6	7.24e-08	21	1	273	2.28e-09	1.35e-09	1.28e-09	0	0	845.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-07-10 17:12:44	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.9	345.1		g	71.7	6.13e-08	22	1	273	1.69e-09	1.18e-09	1.07e-09	0	0	848.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-08-04 16:37:20	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.8	342.3		g	70.6	5.37e-08	23	1	273	1.32e-09	8.62e-10	1.29e-09	0	0	851.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-08-05 16:34:24	LT-T-Z:LP-DIR-T	pmagpy-2.233	1.7	343.3		g	69.4	4.88e-08	24	1	273	1.14e-09	5.25e-10	1.24e-09	0	0	854.0
This study	This study	UMK_BOT	PW30.1b	PW30	PW30.1b	PW30.1b:LP-DIR-T	hargrave 2014-08-11 20:23:33	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.1	343.8		g	68.9	4.48e-08	25	1	273	1.27e-09	9.13e-10	9.79e-10	0	0	857.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-03-04 13:17:27	LT-NO:DE-VM:LP-DIR-T	pmagpy-2.233	114.6	347.1	average of multiple measurements	g	1.0	1.532e-05	1	2.0	273	2.27e-07	8.03e-07	1.09e-07	0	0	273
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-03-07 17:13:06	LT-T-Z:LP-DIR-T	pmagpy-2.233	6.3	346.1		g	01.9	9.70e-06	2	1	273	2.51e-07	1.03e-06	1.03e-07	0	0	323.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-03-14 17:26:43	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.8	347.2		g	01.9	9.64e-06	3	1	273	1.77e-07	7.74e-07	1.16e-07	0	0	373.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-03-18 14:47:08	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.8	346.7		g	02.0	9.36e-06	4	1	273	1.27e-07	6.07e-07	1.09e-07	0	0	423.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-03-31 12:24:29	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.1	344.9		g	02.1	8.96e-06	5	1	273	1.09e-07	4.59e-07	8.90e-08	0	0	473.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-04-02 14:15:57	LT-T-Z:LP-DIR-T	pmagpy-2.233	5.4	346.0		g	02.2	8.56e-06	6	1	273	1.86e-07	7.81e-07	9.32e-08	0	0	523.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-04-15 12:22:45	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.3	347.2		g	02.2	7.86e-06	7	1	273	9.09e-08	4.35e-07	9.38e-08	0	0	573.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-04-22 14:11:21	LT-T-Z:LP-DIR-T	pmagpy-2.233	3.2	346.9		g	02.3	6.03e-06	8	1	273	8.11e-08	3.17e-07	7.12e-08	0	0	623.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-04-28 12:09:44	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.8	348.2		g	02.3	5.35e-06	9	1	273	5.20e-08	2.52e-07	6.02e-08	0	0	673.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-04-30 15:34:25	LT-T-Z:LP-DIR-T	pmagpy-2.233	5.9	345.8		g	02.3	4.96e-06	10	1	273	1.20e-07	4.91e-07	5.78e-08	0	0	698.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-05-02 19:00:34	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.0	346.6		g	02.3	4.69e-06	11	1	273	6.93e-08	3.20e-07	5.17e-08	0	0	723.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-05-05 13:11:01	LT-T-Z:LP-DIR-T	pmagpy-2.233	5.4	349.6		g	02.3	4.39e-06	12	1	273	7.72e-08	4.08e-07	5.07e-08	0	0	748.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-05-07 19:40:07	LT-T-Z:LP-DIR-T	pmagpy-2.233	2.5	345.1		g	02.4	4.01e-06	13	1	273	3.52e-08	1.68e-07	4.20e-08	0	0	773.0
This study	This study	UMK_BOT	PW30.4b	PW30	PW30.4b	PW30.4b:LP-DIR-T	hargrave 2014-05-27 16:30:13	LT-T-Z:LP-DIR-T	pmagpy-2.233	4.2	343.7		g	02.4	3.58e-06	14	1	273	6.95e-08	2.53e-07	3.81e-08	0	0	793.0
